TÍTULO,AUTOR,GÊNERO,ANO,SINOPSE CURTA
Dom Quixote,Miguel de Cervantes,Romance Picaresco,1605,"Um fidalgo espanhol enlouquece lendo romances de cavalaria e decide se tornar um cavaleiro andante para restaurar a justiça no mundo, acompanhado de seu fiel Sancho Pança."
Cem Anos de Solidão,Gabriel García Márquez,Realismo Mágico,1967,"A épica e fantástica saga da família Buendía ao longo de sete gerações na cidade fictícia de Macondo, narrando o ciclo de ascensão e decadência."
Orgulho e Preconceito,Jane Austen,Romance Clássico,1813,"A história da espirituosa Elizabeth Bennet e suas irmãs, confrontando convenções sociais, mal-entendidos e o rico e orgulhoso Sr. Darcy na Inglaterra rural."
1984,George Orwell,Distopia,1949,"Winston Smith vive sob o domínio totalitário do Grande Irmão. Seu desejo por liberdade e um amor proibido o levam a questionar a verdade imposta pelo Partido."
Moby Dick,Herman Melville,Romance de Aventura,1851,"O Capitão Ahab lidera uma tripulação no navio baleeiro Pequod em uma caçada obsessiva e vingativa à gigantesca baleia branca que lhe arrancou a perna."
O Grande Gatsby,F. Scott Fitzgerald,Romance Modernista,1925,"Jay Gatsby, um milionário misterioso, dá festas luxuosas em Long Island enquanto tenta reconquistar um amor perdido, simbolizando o glamour e a decadência dos Anos 20."
Crime e Castigo,Fiódor Dostoiévski,Romance Psicológico,1866,"Um estudante pobre em São Petersburgo comete um assassinato motivado por teorias morais e, atormentado pela culpa e paranóia, enfrenta as consequências de seu ato."
A Metamorfose,Franz Kafka,Ficção Absurda,1915,"O caixeiro-viajante Gregor Samsa acorda inexplicavelmente transformado em um inseto gigantesco, desencadeando o horror e a repulsa de sua família."
Ulisses,James Joyce,Romance Modernista,1922,"Acompanha um dia (16 de junho de 1904) na vida de Leopold Bloom em Dublin, explorando o cotidiano com técnicas de fluxo de consciência complexas."
Madame Bovary,Gustave Flaubert,Romance Realista,1856,"Emma Bovary, infeliz em seu casamento, busca paixão e aventura em casos extraconjugais, lutando contra o tédio da vida provinciana e suas dívidas."
Ensaio sobre a Cegueira,José Saramago,Distopia,1995,"Uma epidemia inexplicável de cegueira branca atinge uma cidade, expondo a natureza humana e a desintegração social quando a ordem é derrubada pelo caos."
Memórias Póstumas de Brás Cubas,Machado de Assis,Realismo/Sátira,1881,"O defunto-autor Brás Cubas narra sua vida, vícios e a sociedade do Rio de Janeiro do século XIX, com ironia e ceticismo, ""do outro lado"" da sepultura."
Grande Sertão: Veredas,João Guimarães Rosa,Romance Modernista,1956,"O jagunço Riobaldo narra sua vida, aventuras e dilemas morais no sertão mineiro, questionando a existência do diabo e a natureza do amor."
Quarto de Despejo: Diário de uma Favelada,Carolina Maria de Jesus,Não-Ficção/Memorial,1960,"O diário real de Carolina, catadora de papel, que descreve a dura realidade da vida na favela do Canindé em São Paulo, entre a fome e a luta pela dignidade."
Vidas Secas,Graciliano Ramos,Romance Social,1938,"A saga da família de retirantes nordestinos (Fabiano, Sinhá Vitória e os filhos) em sua luta por sobrevivência contra a seca e a miséria do sertão."
O Sol é Para Todos,Harper Lee,Ficção de Formação,1960,"Sob os olhos da jovem Scout Finch, seu pai, o advogado Atticus Finch, defende um homem negro injustamente acusado no sul segregado dos Estados Unidos."
A Divina Comédia,Dante Alighieri,Poesia Épica,1320,"A jornada épica de Dante pelos nove círculos do Inferno, pelo Purgatório e pelo Paraíso, guiado por Virgílio e, depois, por Beatriz."
Ilíada,Homero,Poesia Épica,c. Século VIII a.C.,"Narra a ira de Aquiles e os eventos cruciais das últimas semanas da Guerra de Troia, incluindo o duelo entre Heitor e Aquiles."
O Estrangeiro,Albert Camus,Ficção Existencialista,1942,"Meursault, um argelino apático, é confrontado com a falta de sentido da vida após matar um homem sob o sol. O livro explora o conceito do Absurdo."
As Vinhas da Ira,John Steinbeck,Romance Social,1939,"Durante a Grande Depressão, a família Joad é expulsa de sua terra natal no Oklahoma e migra para a Califórnia em busca de trabalho e uma vida melhor."
Drácula,Bram Stoker,Horror Gótico,1897,"Jonathan Harker viaja para o castelo de um nobre nos Cárpatos, descobrindo que o Conde Drácula é um vampiro que planeja levar seu terror para Londres."
